L0,L1,L2,L3,L4,Graph
-0.859712,0.0094590485,-0.24715899,1.0,,
-0.8050756,1.0,0.647974,0.90872437,,
-0.7710394,-0.55049974,0.043626383,-0.5225247,,
-0.06499733,-0.28366208,-0.78248596,0.5626283,,
-0.44896302,0.84122837,0.6058893,-0.52819836,,
1.0,-0.44780532,-0.25168476,0.85631806,,
-1.0,0.33990306,-0.69204307,-0.70362496,,
0.66943717,0.5641436,0.7192148,0.5374521,,
-0.5852145,-1.0,0.7284119,-0.31453484,,
-0.42890927,1.0,0.81160736,-0.602497,,
0.16225088,-0.37170136,-0.1768448,-0.82932734,,
0.7832744,-0.3725,-0.3131631,0.7578759,,
-0.1682648,-0.20840183,-0.08581865,0.33253673,,
0.74966586,-0.6662289,0.60245186,-0.7777976,,
0.41050923,-0.90360963,-0.201113,0.32188913,,
0.55475736,0.07111558,-0.123471916,-0.40814835,,
-0.5321498,-1.0,-0.54821736,-0.7708127,,
-0.87544155,0.15529348,-1.0,-0.9893612,,
0.5298117,1.0,-0.71663535,0.44045925,,
0.52655786,-0.95037234,0.3177029,0.5419309,,
-0.59560645,0.8071222,-0.8957637,-0.021337867,,
-0.19300073,-0.8973806,0.85834056,0.073007286,,
1.0,-0.14139311,-0.5688438,-0.055775836,,
0.14193048,-0.9148617,0.051421832,0.43154868,,
0.038835444,-0.15496661,0.052859217,1.0,,
0.64044595,0.5227268,0.79490095,-0.81419516,,
-0.5163641,-0.43175936,0.07037942,0.60152537,,
0.5840363,-0.2588306,-0.3156826,-0.85274965,,
0.04358557,0.5364604,0.6213675,-0.40017974,,
0.3683828,0.23579013,0.96564865,-0.16937092,,
-0.93407977,0.55485153,0.43035597,-0.32624608,,
0.4400118,-0.34561503,-0.8793848,-0.45783687,,
-0.54028416,0.29056165,-0.9274798,-0.4068127,,
0.97387564,-0.48623526,0.9792104,0.83926225,,
-0.27186465,0.93888795,-0.70878,-0.055371404,,
0.72776175,0.08074075,0.29203165,-0.71539235,,
0.766541,0.1528268,0.19256249,1.0,,
0.0047859848,1.0,-0.4390782,0.47947848,,
0.16665462,-0.32799986,0.10673325,-0.86558306,,
-0.6899078,-0.811673,-0.7488043,-0.6960775,,
-0.90887845,0.6793044,0.57074517,0.4504742,,
0.26579094,-1.0,0.48971638,-0.1581838,,
-0.41871285,-0.10965251,0.7294836,0.49389133,,
0.04766816,-0.16980071,-0.22896451,-0.950591,,
-0.39623153,-0.523051,0.403418,-0.65308267,,
-0.8056632,0.45116937,1.0,-0.47998986,,
-0.58848006,-0.5574827,0.40070122,-0.5418836,,
0.35675198,0.565773,0.3782161,0.17007712,,
0.12961641,-0.18248196,-0.6519637,-0.7061448,,
0.03010098,-0.13470674,-0.050622486,-0.828735,,
-0.25691524,-0.14736106,0.21158743,0.04547602,,
0.34671468,0.6034864,1.0,-0.34338808,,
0.693136,-1.0,0.6597998,-0.54476607,,
-1.0,0.15034425,0.4031266,0.36049688,,
-0.87280667,-0.581467,-0.33825055,-0.4639515,,
-0.50457007,0.15161285,-0.30267203,-0.88303345,,
