L0,L1,L2,L3,L4,Graph
-0.67908645,-1.0,-0.055419084,0.5307096,,122
-0.8332106,0.44827613,0.3347057,0.8096656,,122
-0.01782227,0.12261531,0.9170141,-0.53366363,,122
0.27421764,-0.9804085,-0.29906613,-0.75510895,,122
0.32184613,-0.118188486,-0.5307057,-0.24646986,,122
0.8196911,0.79646444,1.0,-0.26432666,,122
0.59120685,-0.68746114,-1.0,0.84626704,,122
0.23188773,0.16651979,-0.11563204,-0.36035138,,122
-0.25163803,-0.4839392,-0.29503205,1.0,,122
-0.86901665,-0.8918492,-1.0,-0.67470235,,122
-0.5943357,-0.061171733,0.21193513,0.8168643,,122
-0.7462657,-0.5365207,-0.64032793,0.103881866,,122
-0.30756867,-0.35367763,-1.0,0.31171733,,122
0.4080569,0.94542533,-0.101325095,-0.6958698,,122
-0.96223015,-0.65183556,-0.61071616,-0.81100047,,122
1.0,-0.03684929,-0.5252558,-0.20036331,,122
1.0,-1.0,-0.45336825,-0.46770868,,122
-0.6269728,-0.6544251,0.6701248,0.9408498,,122
0.5383256,0.13698408,0.98013306,0.6068663,,122
0.83667314,0.8644757,-1.0,0.7823361,,122
-0.7453297,-0.9148579,0.2317632,0.98336875,,122
0.98449075,-0.9892531,-0.3057851,-0.38228348,,122
0.7835826,-0.721992,0.07887912,-1.0,,122
1.0,0.13926932,-0.4347747,0.10300423,,122
-0.60706466,1.0,-0.45175567,-0.8246911,,122
0.43165755,1.0,1.0,0.057809953,,122
0.8310574,0.76709193,-0.92122424,0.41356474,,122
-1.0,1.0,-0.14127721,0.5833248,,122
-0.32601917,-0.6573411,-0.51736045,-0.6803577,,122
0.37025303,1.0,-0.6142657,0.9520735,,122
0.9750137,-0.50815696,-0.6641501,0.54697603,,122
0.101092815,0.18239863,-0.32445055,1.0,,122
0.7996493,-0.5068527,-0.46447596,0.046926785,,122
0.9597937,-0.57776356,-0.7968314,-0.71572125,,122
-0.8676092,-0.9203439,-0.3532526,0.59303176,,122
0.8307634,1.0,-0.31795675,0.5253917,,122
-0.03713569,0.4082595,-1.0,0.61055547,,122
0.2267205,-0.62060606,0.21204948,0.20647725,,122
-0.1604276,-0.74881744,0.54096115,1.0,,122
0.23037456,0.06836253,0.019868076,-0.41434988,,122
-1.0,0.0395703,-1.0,-0.9539906,,122
0.7303995,0.1893116,-0.7087256,1.0,,122
-0.21488091,0.27407342,0.88461345,-1.0,,122
-0.062095806,-0.68676317,0.43912977,-0.10174787,,122
1.0,0.6812671,-0.2084823,0.7835111,,122
0.32027152,-0.9511497,0.5483874,1.0,,122
-0.63904244,-1.0,-0.06463473,0.28568473,,122
-0.56617075,0.8751895,-1.0,-0.2802982,,122
-0.15065283,-1.0,0.989708,0.5971141,,122
-0.25035062,0.58087647,-0.26922104,-0.9209471,,122
-0.8764506,-0.48557562,0.097019166,-0.33679962,,122
-0.5716217,0.106669724,0.16792062,1.0,,122
0.9510504,-0.32347292,-0.7719854,-0.51142704,,122
-0.40498886,-0.5499872,-0.3531794,-0.035766535,,122
0.053061068,-0.49092594,-0.6250472,0.14890209,,122
0.06932333,-0.548607,-0.67554474,0.17639475,,122
-0.17731705,-0.08532291,0.6492481,-0.29817063,,122
-0.51359904,,,,,122
0.8125566,,,,,122
0.9169259,,,,,122
0.8329749,,,,,122
